node_id,osm_node_id,lng,lat
482,1701898675,-74.0069008,40.7210022
483,4137021568,-74.006894,40.7204753
484,6210448866,-74.0068914,40.729884
485,4207150080,-74.0068581,40.7194943
486,246650510,-74.0068423,40.754568
487,42436377,-74.0068382,40.7302239
488,42429354,-74.0068357,40.707855
489,42439286,-74.006811,40.744061
490,42436142,-74.006801,40.7357317
491,42445702,-74.0068,40.719782
492,42444424,-74.0067906,40.7067331
493,4142105813,-74.0067677,40.7228854
494,42424258,-74.0067668,40.7217241
495,42429844,-74.006766,40.705624
496,3658821414,-74.0067649,40.7115081
497,2821304136,-74.006753,40.713618
498,4560056040,-74.0067426,40.725775
499,6210448859,-74.006721,40.7315804
500,42436381,-74.0067209,40.730945
501,4207978494,-74.0067145,40.7493471
502,6210448862,-74.0067051,40.7316793
503,42429830,-74.0066823,40.7165394
504,42434845,-74.006671,40.7204501
505,4207862995,-74.0066591,40.7313315
506,4207978495,-74.006655,40.7492584
507,42436146,-74.0066187,40.7364224
508,42437699,-74.0066114,40.7544696
509,42436384,-74.0066039,40.73167
510,4754091366,-74.0065871,40.7157771
511,42453059,-74.0065862,40.7188732
512,1701898652,-74.0065752,40.7224917
513,246580466,-74.0065691,40.7495415
514,3567807957,-74.0065527,40.7210964
515,42440345,-74.006531,40.708227
516,4139510041,-74.0065257,40.7238049
517,6210448838,-74.006498,40.7329657
518,42436149,-74.006498,40.736957
519,42436390,-74.0064889,40.732425
520,6210448840,-74.0064875,40.7330397
521,42436152,-74.006487,40.73755
522,42456492,-74.006478,40.711231
523,42436155,-74.00647,40.7381422
524,42427249,-74.0064696,40.706993
525,42431505,-74.00646,40.7387622
526,4207978500,-74.0064594,40.7551052
527,42436159,-74.006449,40.739405
528,4207862996,-74.0064364,40.7327338
529,42440282,-74.006435,40.709557
530,42434842,-74.0064195,40.7204244
531,4778174564,-74.0064128,40.7218157
532,42429664,-74.006385,40.744646
533,42436393,-74.0063829,40.733055
534,246580595,-74.0063827,40.7496702
535,246580445,-74.0063483,40.7494817
536,4890535524,-74.0063385,40.7223126
