edge_id,start_node_id,end_node_id,osm_start_node_id,osm_end_node_id,speed_mph_mean,speed_mph_stddev,dist_meter,time_sec_mean,time_sec_stddev
5708,3282,3251,42442943,42442939,13.20,7.96,79.46,13.47,8.12
5709,3282,3403,42442943,42453000,9.22,7.70,230.96,56.05,46.79
5710,3283,3262,42441299,42441310,22.55,8.71,56.49,5.61,2.17
5711,3283,3293,42441299,5004570627,8.59,6.06,8.20,2.14,1.51
5712,3284,3249,42433564,42427915,10.21,8.84,86.28,18.90,16.36
5713,3284,3313,42433564,42435308,16.97,7.66,80.75,10.65,4.81
5714,3285,3278,589099881,589099734,14.21,12.95,19.17,3.02,2.75
5715,3286,3252,42438043,42434158,19.69,7.60,80.10,9.10,3.51
5716,3287,3253,4205805396,1061531807,8.66,6.58,43.46,11.23,8.53
5717,3287,3332,4205805396,42442534,4.66,5.13,83.84,40.24,44.26
5718,3288,3306,422438819,422438821,15.74,9.49,35.87,5.10,3.07
5719,3289,3183,42438891,42438889,7.58,5.48,154.72,45.68,33.03
5720,3289,3316,42438891,42449956,11.12,8.34,80.12,16.11,12.08
5721,3290,3269,1061531504,42428716,11.90,5.81,18.48,3.47,1.70
5722,3290,3317,1061531504,1061531727,18.73,9.11,79.51,9.49,4.61
5723,3291,3276,42445667,3834459536,14.22,6.89,11.22,1.76,0.85
5724,3291,3314,42445667,42453011,21.09,6.58,77.12,8.18,2.55
5725,3292,3257,42429970,42456683,11.06,8.70,79.43,16.06,12.63
5726,3293,3298,5004570627,42441907,15.20,6.87,15.29,2.25,1.02
5727,3293,3386,5004570627,5004570651,28.08,5.80,329.19,26.22,5.42
5728,3294,3319,42443613,42432834,12.44,8.58,84.95,15.28,10.54
5729,3294,3367,42443613,42443614,8.31,5.49,146.83,39.54,26.13
5730,3295,3255,1577501048,42454010,10.69,11.74,54.18,11.34,12.46
5731,3295,3330,1577501048,42450814,8.80,6.31,65.11,16.54,11.85
5732,3296,3220,422438817,42457788,23.42,7.02,100.84,9.63,2.89
5733,3297,3286,4215936662,42438043,22.22,6.59,34.24,3.45,1.02
5734,3298,3321,42441907,42437920,18.96,5.54,79.88,9.42,2.75
5735,3298,3371,42441907,42431116,12.32,7.48,144.67,26.28,15.95
5736,3299,3206,42436705,42436703,7.68,5.59,146.63,42.70,31.06
5737,3299,3267,42436705,42446994,13.40,8.12,79.84,13.33,8.08
5738,3300,3201,42445953,4347534783,9.10,8.01,154.33,37.95,33.40
5739,3300,3325,42445953,42436511,16.16,7.93,79.22,10.97,5.38
5740,3301,3279,6176628861,3829688390,10.96,6.07,34.92,7.13,3.95
